id,title,department,required_skills,experience_level,min_experience_years
1,"Backend Developer","Developer","{TensorFlow,Node.js,Framer,Data Bricks,React}",Junior,0
2,"Data Scientist","Marketing","{Pandas,Next.js,After Effects,TypeScript,Redis}",Lead,10
3,"Mobile Developer","Infrastructure","{Python,Affinity,Terraform,React}",Lead,11
4,"Game Developer","Design","{AWS,Photoshop,Docker,Tailwind CSS,Affinity}",Senior,7
5,"Tester","Engineering","{Figma,Vue.js,React,GSAP,Data Bricks}",Senior,5
6,"Tester","Marketing","{After Effects,Photoshop,Docker,Vue.js,Sass}",Lead,10
7,"Tester","Product","{GSAP,Docker,Blender,TypeScript,Next.js}",Lead,9
8,"Backend Developer","Marketing","{Data Bricks,React,Vue.js,Docker,Pandas,Tailwind CSS}",Senior,6
9,"Site Reliability Engineer","Data & AI","{Node.js,Python,Go,Next.js,AWS}",Lead,10
10,"Backend Developer","Design","{TensorFlow,Docker,Tailwind CSS,React,Kubernetes,Redis}",Mid,4
11,"Site Reliability Engineer","Data & AI","{After Effects,Kubernetes,Photoshop}",Lead,10
12,"Backend Developer","Data & AI","{Next.js,PostgreSQL,Go,TypeScript}",Senior,5
13,"Tester","Developer","{Python,Blender,GSAP,React,TypeScript}",Senior,7
14,"Frontend Engineer","Engineering","{React,Docker,Vue.js,Kubernetes,TypeScript,Terraform}",Lead,11
15,"Backend Developer","Data & AI","{Docker,GSAP,Blender,Sass,React}",Lead,11
16,"Frontend Engineer","Data & AI","{React,Next.js,Docker,AWS}",Mid,2
17,"UI/UX Designer","Infrastructure","{GraphQL,TypeScript,AWS,Figma,Vue.js,Blender}",Junior,1
18,"Game Developer","Product","{Kubernetes,Framer,Terraform,Python,GraphQL,Data Bricks}",Senior,5
19,"AI & ML Engineer","Design","{Docker,Next.js,Python,Affinity,TypeScript,Framer}",Mid,3
20,"Full Stack Engineer","Infrastructure","{AWS,Kubernetes,Framer,Vue.js,Redis,Docker}",Senior,7
21,"Frontend Engineer","Developer","{GraphQL,Affinity,Docker,Figma}",Senior,7
22,"Mobile Developer","Engineering","{After Effects,Go,Next.js,Affinity,Photoshop,Blender}",Mid,3
23,"AI & ML Engineer","Developer","{React,Next.js,Tailwind CSS,GraphQL,GSAP}",Junior,0
24,"Game Developer","Infrastructure","{Sass,React,Figma,Data Bricks}",Junior,0
25,"Game Developer","Data & AI","{Kubernetes,Blender,Photoshop,React,Tailwind CSS}",Senior,5
26,"DevOps Specialist","Developer","{Blender,PostgreSQL,Redis}",Mid,3
27,"DevOps Specialist","Infrastructure","{Blender,Tailwind CSS,Vue.js,Framer}",Mid,4
28,"Mobile Developer","Product","{Pandas,Tailwind CSS,Photoshop,TensorFlow,Docker,TypeScript}",Junior,1
29,"Backend Developer","Design","{Pandas,TensorFlow,Affinity,Photoshop,GSAP,Python}",Lead,9
30,"AI & ML Engineer","Data & AI","{Data Bricks,TypeScript,Vue.js}",Lead,9
31,"Frontend Engineer","Developer","{Python,Figma,Go,Node.js,Tailwind CSS}",Junior,0
32,"Frontend Engineer","Data & AI","{Affinity,React,GraphQL}",Junior,1
33,"Data Scientist","Infrastructure","{PostgreSQL,Go,React}",Mid,3
34,"Full Stack Engineer","Engineering","{Node.js,Docker,GraphQL,Photoshop}",Lead,10
35,"Game Developer","Developer","{Sass,Terraform,Vue.js,GraphQL,Framer}",Senior,7
36,"Frontend Engineer","Infrastructure","{Vue.js,Tailwind CSS,Python,Docker,Framer}",Mid,2
37,"Frontend Engineer","Marketing","{React,Next.js,After Effects,Go,Node.js}",Junior,1
38,"DevOps Specialist","Marketing","{Terraform,Node.js,Sass,Redis,Tailwind CSS,Docker}",Lead,9
39,"Full Stack Engineer","Engineering","{Vue.js,Next.js,Pandas,Terraform,Node.js,Redis}",Lead,8
40,"Frontend Engineer","Engineering","{Kubernetes,GraphQL,Figma,Python,Tailwind CSS,Go}",Junior,0
41,"Game Developer","Infrastructure","{Photoshop,Terraform,Go,GSAP,React}",Mid,3
42,"DevOps Specialist","Marketing","{PostgreSQL,Photoshop,TensorFlow,Docker}",Senior,7
43,"DevOps Specialist","Engineering","{Next.js,Blender,Figma}",Mid,2
44,"Game Developer","Marketing","{Docker,PostgreSQL,React}",Lead,9
45,"UI/UX Designer","Developer","{Figma,Python,Data Bricks,TypeScript,Tailwind CSS,AWS}",Senior,6
46,"UI/UX Designer","Developer","{Terraform,TensorFlow,Blender,Figma}",Mid,2
47,"AI & ML Engineer","Marketing","{Terraform,TypeScript,Pandas}",Mid,2
48,"Full Stack Engineer","Product","{Framer,Blender,Tailwind CSS,Affinity}",Mid,2
49,"Tester","Data & AI","{TypeScript,Blender,Node.js,Figma,Next.js}",Senior,7
50,"DevOps Specialist","Design","{Vue.js,Python,Node.js,Figma,Tailwind CSS,Pandas}",Senior,6
51,"AI & ML Engineer","Engineering","{React,Node.js,Go,Data Bricks,Next.js}",Lead,11
52,"DevOps Specialist","Data & AI","{GSAP,Tailwind CSS,Go,Framer,Vue.js}",Senior,6
53,"UI/UX Designer","Marketing","{React,Next.js,Blender,Go,TypeScript}",Lead,11
54,"Frontend Engineer","Engineering","{After Effects,Photoshop,GSAP}",Lead,11
55,"Backend Developer","Engineering","{GSAP,Affinity,Tailwind CSS,TypeScript,Photoshop}",Lead,11
56,"Game Developer","Developer","{React,Kubernetes,Terraform,TensorFlow}",Junior,1
57,"AI & ML Engineer","Infrastructure","{React,TypeScript,Sass,Docker,Terraform}",Junior,1
58,"Site Reliability Engineer","Design","{Kubernetes,TensorFlow,GSAP}",Mid,4
59,"Site Reliability Engineer","Marketing","{Node.js,Data Bricks,Pandas,Blender,Kubernetes}",Senior,6
60,"Full Stack Engineer","Data & AI","{React,TypeScript,Next.js,Pandas,GSAP,Figma}",Mid,4
61,"Data Scientist","Product","{Tailwind CSS,Framer,Photoshop}",Senior,6
62,"Tester","Infrastructure","{Next.js,Pandas,TensorFlow}",Lead,11
63,"AI & ML Engineer","Product","{React,Tailwind CSS,Go}",Mid,2
64,"Game Developer","Infrastructure","{Pandas,Affinity,Framer,TypeScript,PostgreSQL}",Senior,6
